,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial
0,,0,,"[56.0, 100.0]",0.0,,,5,1.0,-700.0,-44.0,,64.0,"[100.0, 100.0]",35
1,1.0,0,43.0116263352,"[32.0, 100.0]",-1.0,"[-9, 87]",0.750262966636,1,1.0,1.0,32.0,15.8113883008,64.0,"[0.0, 100.0]",34
2,1.0,0,54.083269132,"[-132.0, 100.0]",0.0,"[-78, 103]",0.867539927214,1,1.0,1.0,-32.0,22.2036033112,64.0,"[-100.0, 100.0]",33
3,1.0,0,64.0312423743,"[-56.0, 0.0]",-5.0,"[-120, -2]",0.767320870973,1,1.0,1.0,44.0,20.0997512422,64.0,"[-100.0, 0.0]",32
4,1.0,0,51.2445119013,"[56.0, -100.0]",-5.0,"[107, -95]",0.683962925987,1,1.0,1.0,-44.0,8.60232526704,64.0,"[100.0, -100.0]",31
5,1.0,0,57.2450871254,"[-44.0, -100.0]",-1.0,"[10, -119]",0.80055396502,1,1.0,1.0,-44.0,21.4709105536,64.0,"[0.0, -100.0]",30
6,-2.0,0,80.5232885568,"[44.0, 0.0]",0.0,"[-34, -20]",0.801427966671,4,1.0,0.0,44.0,39.4461658466,64.0,"[0.0, 0.0]",29
7,1.0,0,39.2173431023,"[-56.0, 0.0]",-1.0,"[-93, 13]",0.868029957015,1,1.0,1.0,44.0,14.7648230602,64.0,"[-100.0, 0.0]",28
8,1.0,0,39.1152144312,"[132.0, -100.0]",0.0,"[93, -103]",0.767560327597,1,1.0,1.0,32.0,7.61577310586,64.0,"[100.0, -100.0]",27
9,0.0,0,31.4006369362,"[68.0, 0.0]",-1.0,"[99, 5]",0.734228085888,3,1.0,0.0,-32.0,5.09901951359,64.0,"[100.0, 0.0]",26
10,0.0,0,31.6227766017,"[132.0, 0.0]",-5.0,"[102, -10]",0.933594502292,3,1.0,-4.0,32.0,10.1980390272,64.0,"[100.0, 0.0]",25
11,-2.0,0,57.008771255,"[-32.0, -100.0]",-5.0,"[13, -65]",0.801202330631,4,1.0,0.0,-32.0,37.3363094052,64.0,"[0.0, -100.0]",24
12,1.0,0,73.5527021937,"[44.0, 0.0]",-5.0,"[-29, -9]",0.834384048163,1,1.0,1.0,44.0,30.3644529014,64.0,"[0.0, 0.0]",23
13,1.0,0,53.8516480713,"[132.0, -100.0]",-1.0,"[80, -86]",0.850750622902,1,1.0,1.0,32.0,24.4131112315,64.0,"[100.0, -100.0]",22
14,1.0,0,47.9270278653,"[-44.0, 100.0]",-5.0,"[0, 81]",0.900769415892,1,1.0,1.0,-44.0,19.0,64.0,"[0.0, 100.0]",21
15,1.0,0,42.3792402008,"[44.0, 0.0]",-1.0,"[4, 14]",0.800659121631,1,1.0,1.0,44.0,14.5602197786,64.0,"[0.0, 0.0]",20
16,1.0,0,44.1814440687,"[-132.0, 100.0]",-1.0,"[-88, 104]",0.799890877483,1,1.0,1.0,-32.0,12.6491106407,64.0,"[-100.0, 100.0]",19
17,1.0,0,54.083269132,"[-68.0, 100.0]",-5.0,"[-122, 103]",0.901176822643,1,1.0,1.0,32.0,22.2036033112,64.0,"[-100.0, 100.0]",18
18,1.0,0,43.0464865001,"[68.0, 0.0]",-5.0,"[111, -2]",0.85101892248,1,1.0,1.0,-32.0,11.1803398875,64.0,"[100.0, 0.0]",17
19,1.0,0,33.0605505096,"[-32.0, 100.0]",0.0,"[1, 98]",0.767417615054,1,1.0,1.0,-32.0,2.2360679775,64.0,"[0.0, 100.0]",16
20,1.0,0,44.1021541424,"[32.0, -100.0]",0.0,"[-5, -124]",0.916828332436,1,1.0,1.0,32.0,24.5153013443,64.0,"[0.0, -100.0]",15
21,1.0,0,65.0,"[56.0, 0.0]",0.0,"[121, 0]",0.884718911875,1,1.0,1.0,-44.0,21.0,64.0,"[100.0, 0.0]",14
22,1.0,0,53.4883164813,"[-144.0, -100.0]",-1.0,"[-94, -119]",0.834026816137,1,1.0,1.0,-44.0,19.9248588452,64.0,"[-100.0, -100.0]",13
23,1.0,0,57.0701322935,"[-144.0, 0.0]",-5.0,"[-88, -11]",0.851542602399,1,1.0,1.0,-44.0,16.2788205961,64.0,"[-100.0, 0.0]",12
24,1.0,0,52.5547333739,"[-132.0, 100.0]",-5.0,"[-83, 81]",0.934852175345,1,1.0,1.0,-32.0,25.495097568,64.0,"[-100.0, 100.0]",11
25,1.0,0,39.0,"[-132.0, 0.0]",0.0,"[-93, 0]",0.81853153902,1,1.0,1.0,-32.0,7.0,64.0,"[-100.0, 0.0]",10
26,1.0,0,52.4690384894,"[144.0, 0.0]",-1.0,"[92, 7]",0.951361763073,1,1.0,1.0,44.0,10.6301458127,64.0,"[100.0, 0.0]",9
27,1.0,0,39.0128184063,"[-68.0, 100.0]",-1.0,"[-107, 99]",0.950964571537,1,1.0,1.0,32.0,7.07106781187,64.0,"[-100.0, 100.0]",8
28,1.0,0,51.7880295049,"[32.0, -100.0]",-5.0,"[-19, -109]",0.951495462192,1,1.0,1.0,32.0,21.0237960416,64.0,"[0.0, -100.0]",7
29,1.0,0,46.6904701197,"[-44.0, 0.0]",0.0,"[2, -8]",0.817751276976,1,1.0,1.0,-44.0,8.24621125124,64.0,"[0.0, 0.0]",6
30,1.0,0,50.0099990002,"[44.0, 100.0]",-5.0,"[-6, 101]",0.851553118058,1,1.0,1.0,44.0,6.0827625303,64.0,"[0.0, 100.0]",5
31,,0,,"[32.0, -100.0]",0.0,,,5,1.0,-700.0,32.0,,64.0,"[0.0, -100.0]",4
32,1.0,0,61.0,"[-44.0, 100.0]",-1.0,"[16, 111]",0.834756002114,1,1.0,1.0,-44.0,19.4164878389,64.0,"[0.0, 100.0]",3
33,1.0,0,66.0075753228,"[-56.0, 0.0]",0.0,"[-122, -1]",0.950669231688,1,1.0,1.0,44.0,22.0227155455,64.0,"[-100.0, 0.0]",2
34,1.0,0,53.9351462406,"[68.0, -100.0]",-1.0,"[121, -110]",0.900734864434,1,1.0,1.0,-32.0,23.2594066992,64.0,"[100.0, -100.0]",1
35,1.0,0,70.5195008491,"[-56.0, -100.0]",0.0,"[-123, -78]",0.867919091903,1,1.0,1.0,44.0,31.8276609257,64.0,"[-100.0, -100.0]",0
36,1.0,1,56.8242905807,"[-44.0, 0.0]",-1.0,"[6, -27]",0.833907838944,1,1.0,1.0,-44.0,27.6586333719,64.0,"[0.0, 0.0]",35
37,1.0,1,46.6904701197,"[32.0, 0.0]",-5.0,"[-14, -8]",0.850746717086,1,1.0,1.0,32.0,16.1245154966,64.0,"[0.0, 0.0]",34
38,,1,,"[68.0, -100.0]",0.0,,,5,1.0,-700.0,-32.0,,64.0,"[100.0, -100.0]",33
39,1.0,1,60.0333240792,"[56.0, 100.0]",-5.0,"[116, 98]",0.850747017534,1,1.0,1.0,-44.0,16.1245154966,64.0,"[100.0, 100.0]",32
40,-2.0,1,73.0821455624,"[56.0, 0.0]",0.0,"[126, 21]",0.901430400296,4,1.0,0.0,-44.0,33.4215499341,64.0,"[100.0, 0.0]",31
41,1.0,1,46.4865571967,"[-68.0, -100.0]",-1.0,"[-112, -115]",0.918577237078,1,1.0,1.0,32.0,19.2093727123,64.0,"[-100.0, -100.0]",30
42,1.0,1,34.9284983931,"[-132.0, 0.0]",-5.0,"[-100, -14]",0.967063147145,1,1.0,1.0,-32.0,14.0,64.0,"[-100.0, 0.0]",29
43,1.0,1,58.2494635168,"[-56.0, -100.0]",0.0,"[-113, -112]",0.868184687455,1,1.0,1.0,44.0,17.691806013,64.0,"[-100.0, -100.0]",28
44,1.0,1,54.083269132,"[44.0, -100.0]",-5.0,"[-10, -97]",0.900398062835,1,1.0,1.0,44.0,10.4403065089,64.0,"[0.0, -100.0]",27
45,1.0,1,43.4165866922,"[132.0, 100.0]",0.0,"[90, 89]",0.900532963742,1,1.0,1.0,32.0,14.8660687473,64.0,"[100.0, 100.0]",26
46,1.0,1,36.6742416418,"[-32.0, -100.0]",-1.0,"[4, -93]",0.918276789622,1,1.0,1.0,-32.0,8.0622577483,64.0,"[0.0, -100.0]",25
47,,1,,"[144.0, 100.0]",-1.0,,,5,1.0,-700.0,44.0,,64.0,"[100.0, 100.0]",24
48,-2.0,1,60.7453701939,"[-132.0, -100.0]",-5.0,"[-75, -121]",0.884297083647,4,1.0,0.0,-32.0,32.6496554346,64.0,"[-100.0, -100.0]",23
49,1.0,1,43.7378554573,"[32.0, 0.0]",-1.0,"[-11, 8]",0.950542142413,1,1.0,1.0,32.0,13.6014705087,64.0,"[0.0, 0.0]",22
50,1.0,1,55.3263047745,"[-56.0, -100.0]",-1.0,"[-111, -94]",0.867951239781,1,1.0,1.0,44.0,12.5299640861,64.0,"[-100.0, -100.0]",21
51,1.0,1,45.5411901469,"[144.0, -100.0]",-5.0,"[99, -107]",0.934030151104,1,1.0,1.0,44.0,7.07106781187,64.0,"[100.0, -100.0]",20
52,,1,,"[32.0, 0.0]",-5.0,,,5,1.0,-700.0,32.0,,64.0,"[0.0, 0.0]",19
53,1.0,1,59.0,"[-44.0, 100.0]",-1.0,"[15, 100]",0.850894537234,1,1.0,1.0,-44.0,15.0,64.0,"[0.0, 100.0]",18
54,1.0,1,54.3415126768,"[32.0, 100.0]",0.0,"[-21, 88]",0.850847967879,1,1.0,1.0,32.0,24.1867732449,64.0,"[0.0, 100.0]",17
55,-2.0,1,68.5054742338,"[-132.0, 100.0]",0.0,"[-75, 138]",0.817895491757,4,1.0,0.0,-32.0,45.4862616622,64.0,"[-100.0, 100.0]",16
56,1.0,1,57.4282160614,"[-44.0, 0.0]",0.0,"[13, -7]",0.967672154138,1,1.0,1.0,-44.0,14.7648230602,64.0,"[0.0, 0.0]",15
57,1.0,1,57.0,"[144.0, 0.0]",0.0,"[87, 0]",0.800570790077,1,1.0,1.0,44.0,13.0,64.0,"[100.0, 0.0]",14
58,1.0,1,33.8378486314,"[68.0, 0.0]",-1.0,"[100, 11]",0.867625254292,1,1.0,1.0,-32.0,11.0,64.0,"[100.0, 0.0]",13
59,1.0,1,59.8414572015,"[-44.0, 100.0]",-5.0,"[15, 90]",0.850974456258,1,1.0,1.0,-44.0,18.0277563773,64.0,"[0.0, 100.0]",12
60,1.0,1,49.7292670366,"[144.0, -100.0]",-1.0,"[96, -87]",0.901362499169,1,1.0,1.0,44.0,13.6014705087,64.0,"[100.0, -100.0]",11
61,,1,,"[-132.0, 0.0]",0.0,,,5,1.0,-700.0,-32.0,,64.0,"[-100.0, 0.0]",10
62,1.0,1,42.1900462195,"[-68.0, 100.0]",-5.0,"[-110, 96]",0.901479373231,1,1.0,1.0,32.0,10.7703296143,64.0,"[-100.0, 100.0]",9
63,1.0,1,55.4436651025,"[-68.0, 100.0]",-1.0,"[-123, 93]",0.917502536528,1,1.0,1.0,32.0,24.0416305603,64.0,"[-100.0, 100.0]",8
64,1.0,1,48.2597140481,"[-32.0, -100.0]",-1.0,"[16, -95]",0.884635988377,1,1.0,1.0,-32.0,16.7630546142,64.0,"[0.0, -100.0]",7
65,1.0,1,61.6603600379,"[144.0, 0.0]",-5.0,"[83, 9]",0.851253571946,1,1.0,1.0,44.0,19.2353840617,64.0,"[100.0, 0.0]",6
66,1.0,1,65.5133574166,"[56.0, 100.0]",-5.0,"[120, 114]",0.883577511988,1,1.0,1.0,-44.0,24.4131112315,64.0,"[100.0, 100.0]",5
67,1.0,1,54.4518135602,"[-44.0, -100.0]",0.0,"[10, -107]",0.901112827334,1,1.0,1.0,-44.0,12.2065556157,64.0,"[0.0, -100.0]",4
68,1.0,1,40.6078810085,"[32.0, 100.0]",0.0,"[-8, 93]",0.901147979686,1,1.0,1.0,32.0,10.6301458127,64.0,"[0.0, 100.0]",3
69,1.0,1,68.6221538572,"[-144.0, 0.0]",-1.0,"[-79, -22]",0.86676567412,1,1.0,1.0,-44.0,30.4138126515,64.0,"[-100.0, 0.0]",2
70,1.0,1,42.0119030752,"[-32.0, 0.0]",-5.0,"[1, 26]",0.83552304447,1,1.0,1.0,-32.0,26.0192236625,64.0,"[0.0, 0.0]",1
71,1.0,1,68.0073525437,"[144.0, -100.0]",0.0,"[76, -99]",0.951478937581,1,1.0,1.0,44.0,24.0208242989,64.0,"[100.0, -100.0]",0
72,1.0,2,48.2700735446,"[68.0, 100.0]",0.0,"[115, 111]",0.917584258235,1,1.0,1.0,-32.0,18.6010752377,64.0,"[100.0, 100.0]",35
73,1.0,2,69.3541635376,"[144.0, -100.0]",0.0,"[75, -93]",0.917568634968,1,1.0,1.0,44.0,25.9615099715,64.0,"[100.0, -100.0]",34
